id,nama_makanan,deskripsi,kategori,kalori,status_kesehatan,jenis,keterangan_kalori,lemak,karbohidrat,protein
2,Gado-Gado,"Sayuran rebus seperti kacang panjang, tauge, dan kol disiram saus kacang yang gurih, kadang ditambah lontong atau kerupuk sebagai pelengkap.",makanan,250,sehat,makanan berat,Sedang,10,30,8
6,Soto Ayam,"Sup ayam berkuah kuning yang kaya rempah seperti kunyit, lengkuas, dan serai, disajikan dengan bihun, telur rebus, emping, dan perasan jeruk nipis.",makanan,300,sehat,makanan berat,Sedang,12,25,15
11,Tahu Gejrot,"Tahu goreng kecil yang dipotong-potong dan disiram dengan bumbu kuah manis pedas dari gula merah, bawang, dan cabai.",makanan,180,sehat,makanan ringan,Rendah,5,20,10
17,Getuk,"Olahan singkong yang dihaluskan dan dicampur dengan gula merah, dibentuk warna-warni dan disajikan dengan taburan kelapa parut.",makanan,190,sehat,cemilan,Rendah,4,35,2
23,Asinan Betawi,"Sayuran segar seperti kol, tauge, dan wortel yang direndam dalam kuah cuka manis asam, sering ditambahkan kerupuk sebagai pelengkap.",makanan,200,sehat,makanan ringan,Rendah,3,40,3
30,Sayur Asem,"Sup asam segar khas Indonesia dengan bahan seperti kacang panjang, jagung, melinjo, dan labu siam, dimasak dengan bumbu asam jawa.",makanan,150,sehat,makanan berat,Rendah,2,25,5
31,Rujak Buah,"Buah segar seperti mangga, nanas, dan jambu disajikan dengan bumbu kacang pedas manis yang terbuat dari gula merah, cabai, dan asam jawa.",makanan,180,sehat,cemilan,Rendah,1,40,2
33,Tempe Goreng,"Tempe kedelai yang digoreng hingga renyah, sering dijadikan lauk atau camilan dengan tambahan sambal.",makanan,250,sehat,makanan ringan,Sedang,15,10,20
43,Lemper,"Olahan ketan yang diisi ayam suwir berbumbu atau abon, dibungkus daun pisang dan dikukus hingga matang.",makanan,220,sehat,cemilan,Rendah,6,35,8
50,Nasi Pecel,"Nasi dengan sayuran rebus seperti bayam, kacang panjang, dan tauge, disiram sambal kacang yang gurih dan pedas.",makanan,340,sehat,makanan berat,Sedang,10,50,12
54,Lontong Balap,"Lontong dengan tauge, lentho (kacang hijau goreng), dan sambal petis, disajikan dengan kuah gurih khas Surabaya.",makanan,250,sehat,makanan berat,Sedang,8,40,10
55,Sate Lilit,"Sate khas Bali dari ikan cincang berbumbu rempah seperti serai, kelapa parut, dan cabai, dililitkan ke batang serai lalu dipanggang.",makanan,220,sehat,makanan berat,Rendah,5,10,25
57,Karedok,"Sayuran mentah seperti kacang panjang, kol, dan tauge disiram saus kacang khas Sunda yang pedas dan segar.",makanan,180,sehat,makanan ringan,Rendah,6,20,8
62,Sayur Bayam,"Bayam segar dimasak dalam kuah bening dengan tambahan jagung manis dan wortel, cocok untuk menu sehat sehari-hari.",makanan,150,sehat,makanan ringan,Rendah,2,25,5
65,Wedang Jahe,"Minuman tradisional Jawa yang terbuat dari jahe segar, gula merah, dan air hangat, memberikan rasa hangat dan menenangkan.",minuman,100,sehat,minuman,Rendah,0,25,0
71,Bubur Ayam,"Bubur nasi yang lembut disajikan dengan suwiran ayam, cakwe, kerupuk, dan ditaburi bawang goreng, memberikan rasa gurih dan kenikmatan.",makanan,290,sehat,makanan berat,Sedang,10,40,15
73,Nasi Lengko,"Nasi dengan tahu, tempe, dan tauge yang disiram dengan kecap manis dan sambal, khas Cirebon.",makanan,300,sehat,makanan berat,Sedang,12,50,18
75,Puding Santan,"Puding yang lembut dan kenyal terbuat dari santan, gula aren, dan tepung beras, memberikan rasa manis dan gurih.",makanan,200,sehat,cemilan,Rendah,8,30,5
80,Sambal Ijo,"Sambal yang terbuat dari cabai hijau, tomat, dan bawang, memberikan rasa pedas dan segar, cocok sebagai pelengkap makanan.",makanan,120,sehat,makanan ringan,Rendah,6,10,2
83,Lupis,"Ketan yang dibentuk bulat dan diselimuti dengan kelapa parut serta gula merah cair, memberikan rasa manis dan gurih.",makanan,240,sehat,cemilan,Rendah,4,50,5
84,Kacang Rebus,"Kacang tanah yang direbus dengan kulitnya, memberikan rasa gurih dan tekstur yang renyah.",makanan,180,sehat,cemilan,Rendah,8,10,7
86,Bakpia,"Kue yang diisi dengan kacang hijau yang manis, dibungkus dengan adonan tipis dan dipanggang hingga matang.",makanan,220,sehat,cemilan,Rendah,6,30,8
87,Nasi Jagung,"Nasi yang dicampur dengan jagung manis dan bahan lainnya, memberikan rasa manis dan gurih, sering disajikan dengan lauk pauk.",makanan,300,sehat,makanan berat,Sedang,10,55,12
91,Sambal Matah,"Sambal mentah khas Bali yang terbuat dari bawang merah, cabai, dan serai, memberikan rasa pedas dan segar.",makanan,100,sehat,makanan ringan,Rendah,8,5,2
93,Lempeng Pisang,"Kue tradisional yang terbuat dari pisang dan tepung beras, dimasak di atas daun pisang hingga matang.",makanan,230,sehat,cemilan,Rendah,4,35,3
94,Binte Biluhuta,"Sup jagung manis yang dimasak dengan ikan dan kemangi, memberikan rasa gurih dan segar.",makanan,250,sehat,makanan berat,Sedang,10,40,15
101,Pepes Ikan,"Ikan yang dibumbui rempah-rempah dan dibungkus daun pisang, kemudian dikukus hingga matang, memberikan rasa gurih dan aroma yang khas.",makanan,220,sehat,makanan berat,Rendah,12,5,30
102,Urap-Urap,"Sayuran segar seperti kacang panjang, tauge, dan kol yang dicampur dengan kelapa parut dan bumbu rempah, memberikan rasa gurih dan segar.",makanan,180,sehat,makanan ringan,Rendah,8,15,5
103,Sup Ikan,"Sup bening yang kaya akan gizi, terbuat dari ikan segar dan sayuran, memberikan rasa gurih dan segar.",makanan,200,sehat,makanan berat,Rendah,10,10,25
104,Pepes Tahu,"Tahu yang dibumbui rempah-rempah dan dibungkus daun pisang, kemudian dikukus hingga matang, memberikan rasa gurih dan aroma yang khas.",makanan,190,sehat,makanan ringan,Rendah,8,5,15
105,Tumis Kangkung,"Kangkung yang ditumis dengan bawang putih dan cabai, memberikan rasa gurih dan sedikit pedas, cocok untuk lauk pendamping.",makanan,150,sehat,makanan ringan,Rendah,6,10,5
106,Oseng-Oseng Tempe,"Tempe yang ditumis dengan bumbu sederhana seperti bawang merah dan cabai, memberikan rasa gurih dan sedikit pedas.",makanan,210,sehat,makanan ringan,Sedang,8,15,10
107,Buntil,"Daun pepaya muda yang diisi dengan parutan kelapa dan bumbu rempah, dibungkus dan dikukus hingga matang.",makanan,170,sehat,makanan ringan,Rendah,4,20,3
108,Sup Jagung,"Sup jagung manis yang dimasak dengan bahan-bahan segar seperti ayam atau seafood, memberikan rasa gurih dan manis.",makanan,230,sehat,makanan berat,Rendah,10,30,15
109,Ikan Bakar,"Ikan segar yang dibakar dengan bumbu sederhana seperti garam dan jeruk nipis, memberikan rasa gurih dan aroma yang menggugah selera.",makanan,250,sehat,makanan berat,Sedang,12,5,30
110,Capcay Kuah,"Sayuran yang ditumis dengan bumbu sederhana dan kuah bening, memberikan rasa segar dan gurih, sering ditambahkan dengan protein seperti ayam atau udang.",makanan,190,sehat,makanan ringan,Rendah,8,10,5
111,Nagasari,"Kue yang terbuat dari tepung beras yang diisi dengan pisang, dibungkus daun pisang dan dikukus hingga matang.",makanan,180,sehat,cemilan,Rendah,4,35,3
112,Kue Putu,"Kue tradisional yang terbuat dari tepung beras yang diisi dengan gula merah, dikukus dalam tabung bambu, memberikan rasa manis dan gurih.",makanan,160,sehat,cemilan,Rendah,6,20,4
113,Ongol-Ongol,"Kue yang terbuat dari tepung sagu yang dicampur dengan gula merah, memberikan rasa manis dan tekstur yang kenyal.",makanan,170,sehat,cemilan,Rendah,4,30,2
115,Lemper Ayam,"Ketan yang dibungkus daun pisang dan diisi dengan ayam suwir berbumbu, dikukus hingga matang, memberikan rasa gurih dan aroma yang khas.",makanan,230,sehat,cemilan,Rendah,8,35,10
117,Kue Ape,"Kue panggang berbentuk setengah lingkaran yang terbuat dari tepung beras, diisi dengan gula merah dan kelapa parut.",makanan,180,sehat,cemilan,Rendah,6,20,4
120,Kue Putu Ayu,"Kue hijau yang terbuat dari pandan, diisi dengan kelapa parut, dikukus dalam cetakan, memberikan rasa manis dan gurih.",makanan,190,sehat,cemilan,Rendah,8,25,5
121,Acar Kuning,"Sayuran acar yang diberi bumbu kunyit, memberikan rasa asam, manis, dan sedikit pedas, cocok sebagai pelengkap makanan.",makanan,120,sehat,makanan ringan,Rendah,2,10,1
122,Pecel,"Sayuran rebus seperti kangkung, tauge, dan kol yang disiram dengan sambal kacang tanpa santan, memberikan rasa segar dan gurih.",makanan,170,sehat,makanan ringan,Rendah,6,15,5
124,Sop Oyong,"Sup yang terbuat dari oyong (gambas) dan wortel, dimasak dengan bumbu sederhana, memberikan rasa segar dan gurih.",makanan,140,sehat,makanan ringan,Rendah,2,10,3
